Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location
700 W Main Street Ct,Chattanooga,TN,37402,02/22/2018 10:18:00 PM,TN0330100,A6,13B,Simple Assault,Part 1 Crimes,18-016109,3,Pending/Possible Leads,35.039812851000072,-85.316534844999978,"(35.039812851, -85.316534845)"
3400 Amnicola Hwy,Chattanooga,TN,37406,02/22/2018 10:20:00 PM,TN0330100,B1,91Z,,,18-016107,3,Pending/Possible Leads,35.08220845000006,-85.264891524999996,"(35.08220845, -85.264891525)"
1700 Verona Dr,Chattanooga,TN,37421,02/22/2018 10:35:00 PM,TN0330100,C8,13B,Simple Assault,Part 1 Crimes,18-016110,3,Pending/Possible Leads,35.023000170000053,-85.166808734999961,"(35.02300017, -85.166808735)"
1700 Kirby Ave,Chattanooga,TN,37404,02/22/2018 10:40:00 PM,TN0330100,B5,91Z,,,18-016115,3,Pending/Possible Leads,35.031781906,-85.278998774999948,"(35.031781906, -85.278998775)"
7000 Amin Dr,Chattanooga,TN,37421,02/22/2018 10:41:00 PM,TN0330100,C6,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-016117,3,Pending/Possible Leads,35.042222727000073,-85.159318150999979,"(35.042222727, -85.159318151)"
3800 13th Ave,Chattanooga,TN,37407,02/22/2018 10:42:00 PM,TN0330100,B9,91Z,,,18-016108,3,Pending/Possible Leads,34.997943191000061,-85.280840722999955,"(34.997943191, -85.280840723)"
1800 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 10:49:00 PM,TN0330100,C8,23C,Shoplifting,Part 1 Crimes,18-016112,2,Cleared by Arrest,35.023180751,-85.158307687999951,"(35.023180751, -85.158307688)"
2800 3rd Ave,Chattanooga,TN,37407,02/22/2018 11:03:00 PM,TN0330100,B7,91Z,,,18-016118,3,Pending/Possible Leads,35.010492921000051,-85.283534117999949,"(35.010492921, -85.283534118)"
1000 Oak St,Chattanooga,TN,37403,02/22/2018 11:16:00 PM,TN0330100,A8,220,Burglary/Breaking And Entering,Part 1 Crimes,18-016126,3,Pending/Possible Leads,35.042080069000058,-85.290894465999969,"(35.042080069, -85.290894466)"
1000 Oak St,Chattanooga,TN,37403,02/22/2018 11:16:00 PM,TN0330100,A8,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-016126,3,Pending/Possible Leads,35.042080069000058,-85.290894465999969,"(35.042080069, -85.290894466)"
3500 Clio Ave,Chattanooga,TN,37407,02/22/2018 11:20:00 PM,TN0330100,B7,91Z,,,18-016127,3,Pending/Possible Leads,35.00348089500006,-85.290891282999937,"(35.003480895, -85.290891283)"
3500 Clio Ave,Chattanooga,TN,37407,02/22/2018 11:20:00 PM,TN0330100,B7,91Z,,,18-016138,2,Cleared by Arrest,35.004812895000057,-85.291304282999945,"(35.004812895, -85.291304283)"
2500 Chestnut St,Chattanooga,TN,37408,02/22/2018 11:40:00 PM,TN0330100,A10,91Z,,,18-016133,3,Pending/Possible Leads,35.02896528200008,-85.318431766999964,"(35.028965282, -85.318431767)"
4600 Plaza Hills Ln,Chattanooga,TN,37343,02/23/2018 12:00:00 AM,TN0330100,A3,91Z,,,18-016373,3,Pending/Possible Leads,35.126320609000082,-85.26735591299996,"(35.126320609, -85.267355913)"
2600 Cowart St,Chattanooga,TN,37408,02/23/2018 12:24:00 AM,TN0330100,A10,35B,Drug Equipment Violations,Part 1 Crimes,18-016142,2,Cleared by Arrest,35.026721887,-85.31666379,"(35.026721887, -85.31666379)"
2600 Cowart St,Chattanooga,TN,37408,02/23/2018 12:24:00 AM,TN0330100,A10,35A,Drug/Narcotic Violations,Part 1 Crimes,18-016142,2,Cleared by Arrest,35.026721887,-85.31666379,"(35.026721887, -85.31666379)"
